Press_Profile	press_model	no2_nox_prof_model	NO2_NOx_Profile
	962.62	0.84362
966.34357	948.1799999999999	0.89242	0.94278014
943.97546	933.99	0.90058	0.88374442
913.05115	919.79	0.90151	0.91255319
865.80823	905.59	0.89985	0.84970021
802.73181	891.4	0.89725	0.81599784
727.98621	877.2	0.8942099999999999	0.79956019
661.07184	863	0.89111	0.79495674
575.28992	848.8	0.88801	0.75779319
505.23068	834.6	0.88478	0.63821846
414.60632	820.4	0.88142	0.62316686
361.94107	806.1900000000001	0.87805	0.53294408
298.31848	791.99	0.8742	0.47956473
260.26889	773.04	0.86912	0.47110552
232.33232	749.36	0.86315	0.32277647
209.27721	725.6799999999999	0.85688	0.34692183
	701.98	0.85003	
	678.28	0.8424199999999999	
	654.58	0.8323700000000001	
	619.01	0.81938	
	583.41	0.80496	
	547.8099999999999	0.78837	
	512.16	0.7692099999999999	
	476.49	0.74664	
	440.78	0.71959	
	405.01	0.6877799999999999	
	369.16	0.65147	
	333.25	0.60436	
	285.7	0.54349	
	243.83	0.47925	
	207.89	0.46016	
	176.93	0.44416	
	150.39	0.47315	
	127.84	0.5014	
	108.66	0.50418	
	92.366		
	78.512		
	56.388		
	40.175		
	28.368		
	19.792		
	9.292899999999999		
	4.0766		
	1.6508		
	0.61678		
	0.21135		
	0.066		
